drama_id,tot_user_score,tot_watched,genre_id
4bb7fe58c17a8084790277d36d4cde59e0cee0bab7be48c0fc26bc78d087c05d,7.4,21548,13
d19a54ca59ce8c15151a3612e854c3a1fdbe67dcee9d917aaa89dbb2b91f89a4,7.4,2344,6
d19a54ca59ce8c15151a3612e854c3a1fdbe67dcee9d917aaa89dbb2b91f89a4,7.4,2344,13
d19a54ca59ce8c15151a3612e854c3a1fdbe67dcee9d917aaa89dbb2b91f89a4,7.4,2344,7
2660c9259d913f316062736bc1a18f3ab4565b5bbee30cb92188a6937667616a,8.7,20031,0
2660c9259d913f316062736bc1a18f3ab4565b5bbee30cb92188a6937667616a,8.7,20031,1
2660c9259d913f316062736bc1a18f3ab4565b5bbee30cb92188a6937667616a,8.7,20031,14
2660c9259d913f316062736bc1a18f3ab4565b5bbee30cb92188a6937667616a,8.7,20031,11
e717a6f28b963790d18e12c7c67b0fb5b8b75ade3c03b38600f72bb91398089a,7.9,9517,10
e717a6f28b963790d18e12c7c67b0fb5b8b75ade3c03b38600f72bb91398089a,7.9,9517,0
e717a6f28b963790d18e12c7c67b0fb5b8b75ade3c03b38600f72bb91398089a,7.9,9517,1
e717a6f28b963790d18e12c7c67b0fb5b8b75ade3c03b38600f72bb91398089a,7.9,9517,3
fbe2c0a674cb0083fee96135325f9d7fa84755b102235e2b1027b8eff62fcaa4,7.8,7486,0
fbe2c0a674cb0083fee96135325f9d7fa84755b102235e2b1027b8eff62fcaa4,7.8,7486,1
fbe2c0a674cb0083fee96135325f9d7fa84755b102235e2b1027b8eff62fcaa4,7.8,7486,15
fbe2c0a674cb0083fee96135325f9d7fa84755b102235e2b1027b8eff62fcaa4,7.8,7486,3
b1a8592a87240cc0c934579c3374f249be89d7ec37d01d7c4135f98d6cb948c2,7.6,547,16
b1a8592a87240cc0c934579c3374f249be89d7ec37d01d7c4135f98d6cb948c2,7.6,547,3
efe3af9237da546fc8b41d35cfc08ee99e084a25664bdb4391026f0ac38a24a8,8.5,40058,2
efe3af9237da546fc8b41d35cfc08ee99e084a25664bdb4391026f0ac38a24a8,8.5,40058,6
efe3af9237da546fc8b41d35cfc08ee99e084a25664bdb4391026f0ac38a24a8,8.5,40058,3
efe3af9237da546fc8b41d35cfc08ee99e084a25664bdb4391026f0ac38a24a8,8.5,40058,13
